dataSource,dataSource_secondary,sourceID,species,dataType,date,time,latitude,longitude,positionalError_meters,specificGeography,dataNotes
ODNR (Diversity Database),NA,18287,Least weasel,Museum specimen,4/10/1930,NA,39.2381,-83.2203,1414.21,,
ODNR (Diversity Database),NA,6952,Least weasel,Museum specimen,3/21/1930,NA,40.2783,-83.0075,S7,,
ODNR (Diversity Database),NA,7172,Least weasel,Museum specimen,2/1/1930,NA,39.8458,-82.6006,1609.34,,
ODNR (Diversity Database),NA,12725,Least weasel,Museum specimen,1/5/1930,NA,39.4964,-82.4758,S7,,
ODNR (Diversity Database),NA,12726,Least weasel,Museum specimen,1/5/1930,NA,39.4964,-82.4758,S7,,
ODNR (Diversity Database),NA,15252,Least weasel,Museum specimen,1/2/1930,NA,41.1694,-82.2189,1609.34,,
ODNR (Diversity Database),NA,17834,Least weasel,Museum specimen,12/15/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17837,Least weasel,Museum specimen,12/26/1930,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,21077,Least weasel,Museum specimen,2/14/1931,NA,41.3762,-83.5933,4828.03,,
ODNR (Diversity Database),NA,8744,Least weasel,Museum specimen,1/31/1931,NA,39.2444,-82.4372,8046.72,,
ODNR (Diversity Database),NA,21086,Least weasel,Museum specimen,1/1/1932,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,4737,Least weasel,Museum specimen,10/1/1932,NA,41.5203,-81.5564,1609.34,,
ODNR (Diversity Database),NA,17844,Least weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17845,Least weasel,Museum specimen,8/19/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17847,Least weasel,Museum specimen,10/6/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,17848,Least weasel,Museum specimen,10/6/1932,NA,41.2056,-81.1478,1414.21,,
ODNR (Diversity Database),NA,11774,Least weasel,Museum specimen,1/5/1933,NA,40.9983,-83.665,S7,,
ODNR (Diversity Database),NA,11764,Least weasel,Museum specimen,3/23/1933,NA,41.1386,-83.6495,1414.21,,
ODNR (Diversity Database),NA,19703,Least weasel,Museum specimen,1/4/1933,NA,41.0819,-81.5192,4828.03,,
ODNR (Diversity Database),NA,4403,Least weasel,Museum specimen,2/19/1933,NA,41.4297,-81.3906,1414.21,,
ODNR (Diversity Database),NA,4404,Least weasel,Museum specimen,11/20/1933,NA,41.4297,-81.3906,1414.21,,
ODNR (Diversity Database),NA,8835,Least weasel,Museum specimen,11/20/1933,NA,41.4297,-81.3906,1414.21,,
ODNR (Diversity Database),NA,13315,Least weasel,Museum specimen,2/3/1933,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13350,Least weasel,Museum specimen,12/10/1933,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,13351,Least weasel,Museum specimen,12/10/1933,NA,41.6291,-81.3072,1609.34,,
ODNR (Diversity Database),NA,4162,Least weasel,Museum specimen,6/25/1934,NA,40.8897,-80.8504,1609.34,,
ODNR (Diversity Database),NA,17804,Least weasel,Museum specimen,4/26/1936,NA,41.3475,-81.39,4828.03,,
ODNR (Diversity Database),NA,17810,Least weasel,Museum specimen,4/26/1936,NA,41.3303,-81.3861,1609.34,,
ODNR (Diversity Database),NA,5596,Least weasel,Museum specimen,5/4/1936,NA,NA,NA,NA,,
ODNR (Diversity Database),NA,5597,Least weasel,Museum specimen,5/4/1936,NA,NA,NA,NA,,
ODNR (Diversity Database),NA,21089,Least weasel,Museum specimen,2/23/1937,NA,41.3762,-83.6517,4828.03,,
ODNR (Diversity Database),NA,5793,Least weasel,Museum specimen,10/1/1937,NA,41.4158,-81.9236,1609.34,,
ODNR (Diversity Database),NA,16996,Least weasel,Museum specimen,11/30/1938,NA,41.1817,-84.7408,1414.21,,
ODNR (Diversity Database),NA,16997,Least weasel,Museum specimen,11/30/1938,NA,41.1817,-84.7408,1414.21,,
ODNR (Diversity Database),NA,20881,Least weasel,Museum specimen,12/22/1938,NA,39.4156,-81.5775,4828.03,,
ODNR (Diversity Database),NA,3530,Least weasel,Museum specimen,12/28/1939,NA,38.9486,-84.2803,1414.21,,
ODNR (Diversity Database),NA,19574,Least weasel,Museum specimen,1/7/1939,NA,40.4681,-84.1806,1414.21,,
ODNR (Diversity Database),NA,19255,Least weasel,Museum specimen,11/14/1939,NA,41.2464,-83.2361,1414.21,,
ODNR (Diversity Database),NA,19256,Least weasel,Museum specimen,11/14/1939,NA,41.2464,-83.2361,1414.21,,
ODNR (Diversity Database),NA,19258,Least weasel,Museum specimen,11/27/1939,NA,41.2464,-83.2361,1414.21,,
ODNR (Diversity Database),NA,19259,Least weasel,Museum specimen,11/27/1939,NA,41.2464,-83.2361,1414.21,,
ODNR (Diversity Database),NA,7646,Least weasel,Museum specimen,3/3/1939,NA,39.0503,-83.0567,1414.21,,
